system:time_start,scaled_EVI
"Jan 1, 2014",0.353
"Jan 17, 2014",0.326
"Feb 2, 2014",0.287
"Feb 18, 2014",0.252
"Mar 6, 2014",0.306
"Mar 22, 2014",0.272
"Apr 7, 2014",0.283
"Apr 23, 2014",0.501
"May 9, 2014",0.42
"May 25, 2014",0.428
"Jun 10, 2014",0.467
"Jun 26, 2014",0.396
"Jul 12, 2014",0.393
"Jul 28, 2014",0.428
"Aug 13, 2014",0.338
"Aug 29, 2014",0.435
"Sep 14, 2014",0.393
"Sep 30, 2014",0.439
"Oct 16, 2014",0.439
"Nov 1, 2014",0.342
"Nov 17, 2014",0.362
"Dec 3, 2014",0.393
"Dec 19, 2014",0.381
"Jan 1, 2015",0.369
"Jan 17, 2015",0.338
"Feb 2, 2015",0.326
"Feb 18, 2015",0.318
"Mar 6, 2015",0.307
"Mar 22, 2015",0.291
"Apr 7, 2015",0.489
"Apr 23, 2015",0.412
"May 9, 2015",0.447
"May 25, 2015",0.485
"Jun 10, 2015",0.455
"Jun 26, 2015",0.392
"Jul 12, 2015",0.44
"Jul 28, 2015",0.432
"Aug 13, 2015",0.401
"Aug 29, 2015",0.467
"Sep 14, 2015",0.401
"Sep 30, 2015",0.4
"Oct 16, 2015",0.424
"Nov 1, 2015",0.443
"Nov 17, 2015",0.397
"Dec 3, 2015",0.42
"Dec 19, 2015",0.412
"Jan 1, 2016",0.369
"Jan 17, 2016",0.35
"Feb 2, 2016",0.299
"Feb 18, 2016",0.291
"Mar 5, 2016",0.276
"Mar 21, 2016",0.326
"Apr 6, 2016",0.412
"Apr 22, 2016",0.475
"May 8, 2016",0.435
"May 24, 2016",0.451
"Jun 9, 2016",0.385
"Jun 25, 2016",0.44
"Jul 11, 2016",0.37
"Jul 27, 2016",0.412
"Aug 12, 2016",0.424
"Aug 28, 2016",0.404
"Sep 13, 2016",0.412
"Sep 29, 2016",0.42
"Oct 15, 2016",0.471
"Oct 31, 2016",0.42
"Nov 16, 2016",0.4
"Dec 2, 2016",0.389
"Dec 18, 2016",0.404
"Jan 1, 2017",0.4
"Jan 17, 2017",0.373
"Feb 2, 2017",0.365
"Feb 18, 2017",0.33
"Mar 6, 2017",0.322
"Mar 22, 2017",0.393
"Apr 7, 2017",0.459
"Apr 23, 2017",0.447
"May 9, 2017",0.431
"May 25, 2017",0.475
"Jun 10, 2017",0.455
"Jun 26, 2017",0.431
"Jul 12, 2017",0.494
"Jul 28, 2017",0.443
"Aug 13, 2017",0.428
"Aug 29, 2017",0.432
"Sep 14, 2017",0.471
"Sep 30, 2017",0.42
"Oct 16, 2017",0.397
"Nov 1, 2017",0.444
"Nov 17, 2017",0.424
"Dec 3, 2017",0.381
"Dec 19, 2017",0.369
"Jan 1, 2018",0.353
"Jan 17, 2018",0.373
"Feb 2, 2018",0.346
"Feb 18, 2018",0.291
"Mar 6, 2018",0.326
"Mar 22, 2018",0.338
"Apr 7, 2018",0.346
"Apr 23, 2018",0.46
"May 9, 2018",0.44
"May 25, 2018",0.46
"Jun 10, 2018",0.51
"Jun 26, 2018",0.416
"Jul 12, 2018",0.358
"Jul 28, 2018",0.416
"Aug 13, 2018",0.432
"Aug 29, 2018",0.389
"Sep 14, 2018",0.439
"Sep 30, 2018",0.404
"Oct 16, 2018",0.428
"Nov 1, 2018",0.408
"Nov 17, 2018",0.369
"Dec 3, 2018",0.381
"Dec 19, 2018",0.361
"Jan 1, 2019",0.346
"Jan 17, 2019",0.283
"Feb 2, 2019",0.291
"Feb 18, 2019",0.283
"Mar 6, 2019",0.252
"Mar 22, 2019",0.319
"Apr 7, 2019",0.386
"Apr 23, 2019",0.439
"May 9, 2019",0.423
"May 25, 2019",0.471
"Jun 10, 2019",0.413
"Jun 26, 2019",0.443
"Jul 12, 2019",0.401
"Jul 28, 2019",0.439
"Aug 13, 2019",0.401
"Aug 29, 2019",0.416
"Sep 14, 2019",0.44
"Sep 30, 2019",0.436
"Oct 16, 2019",0.424
"Nov 1, 2019",0.436
"Nov 17, 2019",0.385
"Dec 3, 2019",0.392
"Dec 19, 2019",0.378
"Jan 1, 2020",0.389
"Jan 17, 2020",0.342
"Feb 2, 2020",0.338
"Feb 18, 2020",0.252
"Mar 5, 2020",0.272
"Mar 21, 2020",0.279
"Apr 6, 2020",0.346
"Apr 22, 2020",0.389
"May 8, 2020",0.494
"May 24, 2020",0.494
"Jun 9, 2020",0.466
"Jun 25, 2020",0.479
"Jul 11, 2020",0.427
"Jul 27, 2020",0.459
"Aug 12, 2020",0.44
"Aug 28, 2020",0.404
"Sep 13, 2020",0.432
"Sep 29, 2020",0.424
"Oct 15, 2020",0.439
"Oct 31, 2020",0.455
"Nov 16, 2020",0.393
"Dec 2, 2020",0.392
"Dec 18, 2020",0.4
"Jan 1, 2021",0.389
"Jan 17, 2021",0.377
"Feb 2, 2021",0.361
"Feb 18, 2021",0.322
"Mar 6, 2021",0.31
"Mar 22, 2021",0.432
"Apr 7, 2021",0.396
"Apr 23, 2021",0.421
"May 9, 2021",0.404
"May 25, 2021",0.42
"Jun 10, 2021",0.443
"Jun 26, 2021",0.471
"Jul 12, 2021",0.502
"Jul 28, 2021",0.436
"Aug 13, 2021",0.467
"Aug 29, 2021",0.463
"Sep 14, 2021",0.42
"Sep 30, 2021",0.444
"Oct 16, 2021",0.502
"Nov 1, 2021",0.42
"Nov 17, 2021",0.408
"Dec 3, 2021",0.404
"Dec 19, 2021",0.365
"Jan 1, 2022",0.346
"Jan 17, 2022",0.323
"Feb 2, 2022",0.311
"Feb 18, 2022",0.318
"Mar 6, 2022",0.264
"Mar 22, 2022",0.299
"Apr 7, 2022",0.369
"Apr 23, 2022",0.432
"May 9, 2022",0.45
"May 25, 2022",0.447
"Jun 10, 2022",0.447
"Jun 26, 2022",0.502
"Jul 12, 2022",0.459
"Jul 28, 2022",0.396
"Aug 13, 2022",0.408
"Aug 29, 2022",0.455
"Sep 14, 2022",0.451
"Sep 30, 2022",0.486
"Oct 16, 2022",0.41
"Nov 1, 2022",0.448
"Nov 17, 2022",0.428
"Dec 3, 2022",0.401
"Dec 19, 2022",0.389
